Name,NAME,USD,CAD
https://www.pricecharting.com/game/pokemon-black-bolt/serperior-ex-164,Black Bolt,$35.31,$48.3
https://www.pricecharting.com/game/pokemon-black-bolt/meloetta-ex-167,Black Bolt,$32.67,$44.7
https://www.pricecharting.com/game/pokemon-black-bolt/krookodile-137,Black Bolt,$30.28,$41.4
https://www.pricecharting.com/game/pokemon-black-bolt/volcarona-100,Black Bolt,$28.67,$39.2
https://www.pricecharting.com/game/pokemon-black-bolt/solosis-118,Black Bolt,$28.60,$39.1
https://www.pricecharting.com/game/pokemon-black-bolt/amoonguss-96,Black Bolt,$24.27,$33.2
https://www.pricecharting.com/game/pokemon-black-bolt/lilligant-92,Black Bolt,$23.00,$31.5
https://www.pricecharting.com/game/pokemon-black-bolt/dwebble-129,Black Bolt,$22.74,$31.1
https://www.pricecharting.com/game/pokemon-black-bolt/genesect-ex-169,Black Bolt,$40.20,$55.0
https://www.pricecharting.com/game/pokemon-black-bolt/haxorus-147,Black Bolt,$40.50,$55.4
https://www.pricecharting.com/game/pokemon-black-bolt/air-balloon-great-ball-league-79,Black Bolt,$46.94,$64.2
https://www.pricecharting.com/game/pokemon-black-bolt/conkeldurr-127,Black Bolt,$19.99,$27.3
https://www.pricecharting.com/game/pokemon-black-bolt/excadrill-ex-168,Black Bolt,$19.26,$26.3
https://www.pricecharting.com/game/pokemon-black-bolt/victini-master-ball-12,Black Bolt,$19.00,$26.0
https://www.pricecharting.com/game/pokemon-black-bolt/cobalion-144,Black Bolt,$18.99,$26.0
https://www.pricecharting.com/game/pokemon-black-bolt/landorus-131,Black Bolt,$18.38,$25.1
https://www.pricecharting.com/game/pokemon-black-bolt/fraxure-146,Black Bolt,$18.25,$25.0
https://www.pricecharting.com/game/pokemon-black-bolt/scolipede-134,Black Bolt,$17.59,$24.1
https://www.pricecharting.com/game/pokemon-black-bolt/eelektrik-114,Black Bolt,$16.85,$23.0
https://www.pricecharting.com/game/pokemon-black-bolt/snivy-87,Black Bolt,$16.49,$22.6
https://www.pricecharting.com/game/pokemon-black-bolt/audino-151,Black Bolt,$16.38,$22.4
https://www.pricecharting.com/game/pokemon-black-bolt/pidove-148,Black Bolt,$15.42,$21.1
https://www.pricecharting.com/game/pokemon-black-bolt/eelektross-115,Black Bolt,$15.34,$21.0
https://www.pricecharting.com/game/pokemon-black-bolt/klinklang-141,Black Bolt,$15.40,$21.1
https://www.pricecharting.com/game/pokemon-black-bolt/tirtouga-106,Black Bolt,$14.51,$19.8
https://www.pricecharting.com/game/pokemon-black-bolt/unfezant-150,Black Bolt,$14.71,$20.1
https://www.pricecharting.com/game/pokemon-black-bolt/tynamo-113,Black Bolt,$13.80,$18.9
https://www.pricecharting.com/game/pokemon-black-bolt/axew-145,Black Bolt,$12.63,$17.3
https://www.pricecharting.com/game/pokemon-black-bolt/foongus-95,Black Bolt,$11.46,$15.7
https://www.pricecharting.com/game/pokemon-black-bolt/cubchoo-109,Black Bolt,$11.31,$15.5
https://www.pricecharting.com/game/pokemon-crown-zenith/pikachu-gg30,Crown Zenith,$23.18,$31.7
https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-tyranitar-pokemon-center-96,Destined Rivals,$35.87,$49.1
https://www.pricecharting.com/game/pokemon-destined-rivals/ethan%27s-adventure-236,Destined Rivals,$35.00,$47.9
https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-giovanni-238,Destined Rivals,$31.85,$43.6
https://www.pricecharting.com/game/pokemon-destined-rivals/cynthia%27s-garchomp-ex-241,Destined Rivals,$28.52,$39.0
https://www.pricecharting.com/game/pokemon-destined-rivals/arven%27s-mabosstiff-ex-235,Destined Rivals,$25.99,$35.5
https://www.pricecharting.com/game/pokemon-destined-rivals/ethan%27s-ho-oh-ex-239,Destined Rivals,$25.32,$34.6
https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-ariana-237,Destined Rivals,$23.36,$31.9
https://www.pricecharting.com/game/pokemon-destined-rivals/misty%27s-lapras-194,Destined Rivals,$23.25,$31.8
https://www.pricecharting.com/game/pokemon-destined-rivals/yanmega-ex-228,Destined Rivals,$19.99,$27.3
https://www.pricecharting.com/game/pokemon-destined-rivals/ethan%27s-typhlosion-190,Destined Rivals,$20.98,$28.7
https://www.pricecharting.com/game/pokemon-lost-origin/pikachu-tg05,Lost Origin,$30.28,$41.4
https://www.pricecharting.com/game/pokemon-mega-evolution/acerola%27s-mischief-183,Mega Evolution,$30.50,$41.7
https://www.pricecharting.com/game/pokemon-mega-evolution/yveltal-eb-games-88,Mega Evolution,$20.54,$28.1
https://www.pricecharting.com/game/pokemon-mega-evolution/wally%27s-compassion-186,Mega Evolution,$20.10,$27.5
https://www.pricecharting.com/game/pokemon-mega-evolution/lillie%27s-determination-169,Mega Evolution,$18.95,$25.9
https://www.pricecharting.com/game/pokemon-mega-evolution/lt-surge%27s-bargain-185,Mega Evolution,$19.18,$26.2
